"ランキングから来ました。
まだ、読んでる途中ですが楽しく読んでいます。",4話と5話でVITが下がっているんですけど、何か読み落としたでしょうか？,,"ありがとうございます！
確認いたしました、完全にこちらのミスですね……初期のVITは鳥面と素の数値込みで「2」です、ご指摘感謝です",2017年 06月04日 13:07,2017年 06月04日 20:20
,,「？？」のイリステラになるのか気になります。,"まぁもしも、もしも彼女がユニークモンスター化するとするなら宗教関連から侵食を開始して人類種に対するより悪辣な手段を用いる……そっすね、「頽廃のイリステラ」とかそれっぽくて良くないですか？
っつーか実は聖女ちゃんユニークモンスター説は拙作を書き始めてすぐの大体10話くらいまで書いてた時点では採用してたんですよね、ただ「シュバルツヴォルフ（リュカオーンの最初期設定）はゴミダサいわ」を発端として色々と設定を練り直した結果、「宗教サイドが悪役」ってのもひねりがないなってことでゴルドゥニーネと交代させました。あの蛇っ子が人類にやたら辛辣なのは最初期設定聖女ちゃんの人類大っ嫌い設定が受け継がれた結果なんですねぇ

ドイツ語ネーミングはヴァッシュに残ってたりしてますが、まぁそれを差し引いてもシュバルツヴォルフはダサすぎた。人間に「人間」って名前つけてるようなもんですからね、作者の黒歴史の一つです

しかし黒歴史を見つめ直すことでより良いものが生まれるというのもまた事実、実際初期設定ではサンラクはあまり死亡しない設定だったんですね。ですがそれじゃつまらない、異世界転生とVRゲームモノで明確にVRモノがアドバンテージを取れる点といえばやはり「デスゲームモノにしない限りは命を消耗品にできる」という点なんですね、そこでサンラク君には作業周回特有の「用事が済んだら死に戻り」をやってもらおうということになって登場したのが蠍達であって、そもそも別に蠍は好きじゃないし舞台装置としての存在だったんですがそこはほら素材的に美味しいと自然となんども訪れるわけで作中で何度も登場させる以上はそれなりに設定を充実させたほうがいいよねっていう結論でして決して蠍が好きだから設定増やしたとかそういうわけではなくいや確かに色違いスコルピ厳選したけど一番好きなのはラグラージだし次は色違いフシデ厳選するつもりですけどあれこれ要するに蠍とか百足みたいなやつが好きじゃねーの？ って話なんだけどお前Zツボをつくのギャンブルはクセになるっていうか結構ドラピオンに勘違いして炎技打ってくるやつ今でも見かけるの嬉しいやら悲しいやらで笑いながら今日もマイオナレート挑戦してますっていうか話しそれましたねそもそもなんの話してたんでしたっけ？ 蠍？",2018年 11月26日 2:59,2018年 11月26日 3:21
,,"聖女ちゃん感情がほぼないみたいな話ですけど
ならスカルアツチを前にドン引きして顔を引き攣らせてたのは割とレアな事態なのでは？",昔はオンオフが極端だったけど今は結構踏みやすい位置にあるフラグさえ気をつければ割と真人間ぶれる,2018年 11月26日 3:49,2018年 11月26日 6:16
,仮に最悪のパターンで聖女がユニークモンスターになっていたら、現実世界でそれ用のスパコン用意しないといかんかったのかな?ジークブルムはデカいデスクトップに入ってたよね?,,聖女ちゃんは並列分散リンクで動いてるので……このネタわかる人いる？ 握手した後にガラケーぶん投げような？,2018年 11月26日 13:43,2018年 11月26日 14:49
,"正直オルケストラは聖女ちゃんだと思っていた・・・
違ったか。",,オルケストラはある点から見れば驚くほどつまらないし、ある点から見れば恐らく作中でも一番やばい代物,2018年 11月26日 13:23,2018年 11月26日 14:50
"気になる事が急にいっぱい湧いた
今後が大変楽しみだぁ",聖女ちゃんがただのNPCじゃないのはなんとなく分かってたけど、これで他の人の予想通りに聖女ちゃんは種族が「NPC(プレイヤーがいない一般人)」ではなく「GMPC(ゲームシステムそのものがプレイヤーの1開拓者)」だったらびびる(語彙力),ところで次の古戦場は闇らしいですけど元ハデス硬梨菜さんはいかがお過ごしでしょうか,"当方、セレバハマンとして日々精進しておりまする
それはそれとしてバハとルシどっちを先に4凸にすべきなのか……アルバハ見据えてルシか、目先の古戦場か……待って！ 許して！ 両方同時は死んじゃう！！",2018年 11月26日 11:27,2018年 11月26日 14:52
新しい語録がどんどん増えるなぁ…,"もし一部分まで巻き戻してプロット書くなら何処までもどしたい？
ディプスロちゃんがやらかしてるんだろうなぁと邪推
アクが強すぎて勝手に動いてヤベェ事になってる感",,ディプスロさんは割と作者も持て余してる面はあるっちゃあるんですが彼女ほどプロットに忠実なキャラもいないのである意味運命の奴隷ですね,2018年 11月26日 11:24,2018年 11月26日 14:53
,"マジか。新ユニークか。まだ可能性の段階だけど。
聖女ちゃんがオルケストラなのかと思ってたわ。",生まれるべきではなかった……聖女……聖堂街……狩人、カンストエミーリア……うっ、吐き気が,エルドランザ進行（プレイヤーが関与しないシナリオ進行の意）でいい乱数引けたのでユニークは７体なのです,2018年 11月26日 14:33,2018年 11月26日 14:55
,"オルケストラの招待、推測でならそりゃ言えるけどなんかこれは確実に推理できる状態になってから当てたい感があるよね、硬梨奈氏こんだけ頑張って吐きたいのに耐えてる感が臭ってるんだもん。
なんか突っついたらちょっと漏らしてを繰り返しそうな。","偉い人(ランク200以上)は言いました。
「お前が求めてるものはほとんど全てアルバハに有る。連戦し続けろ。」
",しかしセンセイ！ アルバハはゴブロ斧もグリム琴も落としてはくれんのです！！！,2018年 11月26日 18:49,2018年 11月26日 19:18
,,聖女ちゃんに「火防女の瞳」を渡さなきゃ…,多分最初は困った顔で「？？？」ってなるけど五秒くらいして「これは私とは無縁のものですね」って返してくれます,2018年 11月26日 17:35,2018年 11月26日 19:26
,,"ケータイ捜査官7とは随分懐かしい…………
あの変形はガラケーならではだったなぁ笑",今こそスマホ捜査官VIIとしてリメイクされるべきだと思うのですよ……,2018年 11月26日 17:34,2018年 11月26日 19:27
"更新しないかなと思って感想欄のおゲロ読んでたら更新来て大歓喜
",,カローシスが剣聖モドキだったとは、、、凄くいい,神秘の剣、普通に強いんですけど……こう、見た目がね,2018年 11月27日 8:59,2018年 11月27日 9:04
時間忘れて読むほど好きです(直球),感想の返信で、乱数の結果で7体のユニークモンスターが現れることになった的なこと言ってましたが、増えるとしたらぶっちゃけ最大でユニークモンスターは何体になります？,,九（多分、もしかしたら十一）,2018年 11月27日 2:42,2018年 11月27日 9:05
